date,usdt_adj_vol,usdt_supply,usdt_circulating_supply
2024/11/28 0:00,28856010753.558296,133274936289.90004,133205067986.126
2024/11/29 0:00,32239888260.77511,133797514692.27998,133432174476.262
2024/11/30 0:00,19659708925.113335,133932659408.55002,133988109783.178
2024/12/1 0:00,17671284951.60809,134041159418.48004,134038109772.857
2024/12/2 0:00,39242083585.78921,134572084756.83997,134122209730.458
2024/12/3 0:00,40090622680.92193,134930905417.72002,134658029654.894
2024/12/4 0:00,42481946979.31602,135706451645.11,134983904742.73
2024/12/5 0:00,47596679960.30725,136649375175.48001,135691101232.32
2024/12/6 0:00,38281594416.06683,137327398979.81999,136630946804.39
2024/12/7 0:00,21130380670.050705,137599380434.33,137704486652.273
2024/12/8 0:00,17974094593.053352,138105722299.0001,137928486646.917
2024/12/9 0:00,43123672572.711975,138172479304.05994,138064756646.842
2024/12/10 0:00,42857623510.33759,138444960099.68997,138308884820.097
2024/12/11 0:00,39754972185.259895,139357198213.68002,138618977175.674
2024/12/12 0:00,35428010751.45932,139931278338.5901,139742488654.326
2024/12/13 0:00,32749297391.773205,139957671614.86002,140090579704.585
2024/12/14 0:00,18636214022.619617,140013102534.82996,140133672849.568
2024/12/15 0:00,17251203497.496166,139968460767.56995,140253672849.478
2024/12/16 0:00,40243320355.12136,140124797066.03006,140253672849.444
2024/12/17 0:00,37281864378.54546,140110844865.57,140454146488.503
2024/12/18 0:00,37347272665.00351,139827008492.53003,140607916018.816
2024/12/19 0:00,42963642380.933655,139840063273.13,140629475030.016
2024/12/20 0:00,44271009464.67573,139247853094,140623286117.34
2024/12/21 0:00,21770415727.85658,139211181208.50003,139872815646.939
2024/12/22 0:00,16830835599.615421,138976449298.29013,139872815646.753
2024/12/23 0:00,36267995615.20992,138532513133.50003,139848269931.163
2024/12/24 0:00,31821201547.515785,138847877289.96002,139848269931.163
2024/12/25 0:00,22714160370.005833,138760198140.80002,139423980093.458
2024/12/26 0:00,27005854205.879444,138807112132.30005,139427879732.053
2024/12/27 0:00,31889726340.029743,138436931624.14008,139440581307.071
2024/12/28 0:00,17776622799.704704,138404563592.07,139005076782.309
2024/12/29 0:00,14560567203.673933,138349960737.01004,139005076766.802
2024/12/30 0:00,38885339051.259094,137233936437.81004,138953076766.052
2024/12/31 0:00,26294615138.404358,136848997629.40009,137805153955.276
2025/1/1 0:00,15401520020.542553,136759760241.80002,137442664166.088
2025/1/2 0:00,26434703681.57397,136674356014.30995,137432664160.48
2025/1/3 0:00,28478753048.65159,136788416780.15005,137250612325.243
2025/1/4 0:00,15452009684.666973,136840089710.99998,137276181744.974
2025/1/5 0:00,13511653693.823215,136724740380.34006,137271150958.816
2025/1/6 0:00,34243176062.233788,137145309554.10005,137271150956.462
2025/1/7 0:00,36171119571.73629,137059013305.92996,137520044570.038
2025/1/8 0:00,34521441883.84987,136929156303.31001,137590885948.723
2025/1/9 0:00,34613380420.35423,136844546431.10997,137601365454.335
2025/1/10 0:00,30847921633.209305,136714108398.21999,137446161140.606
2025/1/11 0:00,16381280251.647263,136696785921.08989,137447054879.953
2025/1/12 0:00,14394343891.36916,136659661991.61996,137451354879.701
2025/1/13 0:00,37488258026.78659,136466538215.16992,137449718934.418
